CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window
2017058002,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,5/18/17,8:59 AM,5,2017,RESOL,Y,5/3/18,5,2018,350,1543 LAWN AVE,"1543 LAWN AVE
64127
(39.092613, -94.527612)",64127,East Community Team North,Jackson,3,East,8675,39.092613,-94.527612,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017058002,
2016066585,EMAIL,NHS,NHS-Neighborhood Preservation-Administration,Government-NHS (Neighborhood Housing Services)-No Known Property Owner,Government,NHS (Neighborhood Housing Services),No Known Property Owner,6/13/16,4:14 PM,6,2016,OPEN,Y,,,,,3016 BALES AVE,"3016 BALES AVE
64128
(39.070716, -94.542777)",64128,Ingleside,Jackson,3,East,24000,39.070716,-94.542777,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2016066585,90
2015012325,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,2/5/15,11:33 AM,2,2015,RESOL,Y,4/6/18,4,2018,"1,156",11314 HERRICK AVE,"11314 HERRICK AVE
64134
(38.917354, -94.496792)",64134,Ruskin Heights,Jackson,6,South,73082,38.917354,-94.496792,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2015012325,
2017053096,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Vacant,5/8/17,4:00 PM,5,2017,RESOL,Y,6/25/18,6,2018,413,10730 WEST LONGVIEW PKWY,"10730 WEST LONGVIEW PKWY
64134
(38.927238, -94.48646)",64134,Ruskin Hills,Jackson,6,South,208880,38.927238,-94.48646,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017053096,
2017110302,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,8/28/17,10:55 AM,8,2017,RESOL,Y,5/3/18,5,2018,248,11015 HERRICK AVE,"11015 HERRICK AVE
64134
(38.922838, -94.495769)",64134,Ruskin Hills,Jackson,6,South,71363,38.922838,-94.495769,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017110302,
2017083219,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,7/7/17,11:56 AM,7,2017,OPEN,Y,,,,,2743 GARFIELD AVE,"2743 GARFIELD AVE
64109
(39.07564, -94.558024)",64109,Key Coalition,Jackson,3,Central,26684,39.07564,-94.558024,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017083219,90
2017062642,PHONE,NHS,NHS-Dangerous Buildings-,Prop/Build/Construct-Dangerous Building-On list,Property / Buildings / Construction,Dangerous Building,Standard,5/30/17,7:55 AM,5,2017,RESOL,Y,2/1/18,2,2018,247,609 W 96TH ST,"609 W 96TH ST
64114
(38.954234, -94.599078)",64114,Lea Manor,Jackson,6,South,152665,38.954234,-94.599078,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017062642,
2017102570,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,8/14/17,10:35 AM,8,2017,OPEN,Y,,,,,3626 AGNES AVE,"3626 AGNES AVE
64128
(39.059568, -94.549098)",64128,Oak Park Northwest,Jackson,3,East,28721,39.059568,-94.549098,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017102570,90
2017115636,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,9/8/17,8:32 AM,9,2017,OPEN,Y,,,,,2601 POPLAR AVE,"2601 POPLAR AVE
64127
(39.077926, -94.525487)",64127,East Community Team South,Jackson,3,East,19773,39.077926,-94.525487,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017115636,90
2017118860,WEB,City Planning and Development,City Planning and Development-Permit Compliance-,Prop/Build/Construct-Construction Issue/Concern-Work without permit,Property / Buildings / Construction,Construction Issue/Concern,Work Without Permit,9/14/17,12:48 PM,9,2017,RESOL,Y,6/7/18,6,2018,266,3113 THOMPSON AVE,"3113 THOMPSON AVE
64124
(39.107767, -94.544966)",64124,Scarritt Point,Jackson,4,East,41303,39.107767,-94.544966,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017118860,
2017076634,PHONE,NHS,NHS-Dangerous Buildings-,Prop/Build/Construct-Dangerous Building-On list,Property / Buildings / Construction,Dangerous Building,Standard,6/26/17,8:00 AM,6,2017,RESOL,Y,2/5/18,2,2018,224,4738 HARVARD AVE,"4738 HARVARD AVE
64133
(39.035083, -94.450299)",64133,Stayton Meadows,Jackson,3,East,49647,39.035083,-94.450299,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017076634,
2017146956,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Open Storage,11/21/17,10:02 AM,11,2017,RESOL,Y,2/15/18,2,2018,86,5612 N Booth Ave,"5612 N Booth Ave
64119
(39.194728, -94.480381)",64119,Gracemor-Randolph Corners,CLAY,1,Shoal Creek,90608,39.194728,-94.480381,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017146956,
2017107909,PHONE,NHS,NHS-Dangerous Buildings-,Prop/Build/Construct-Dangerous Building-On list,Property / Buildings / Construction,Dangerous Building,Standard,8/23/17,12:40 PM,8,2017,RESOL,Y,10/27/17,10,2017,65,320 N BELMONT BLVD,"320 N BELMONT BLVD
64123
(39.114741, -94.509616)",64123,North Indian Mound,Jackson,4,East,45725,39.114741,-94.509616,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017107909,
2017109992,PHONE,NHS,NHS-Neighborhood Preservation-DART,Prop/Build/Construct-Property Maintenance-DART,Property / Buildings / Construction,Property Maintenance,DART,8/28/17,7:30 AM,8,2017,RESOL,Y,7/25/18,7,2018,331,507 WABASH AVE,"507 WABASH AVE
64124
(39.108223, -94.552227)",64124,Pendleton Heights,Jackson,3,Central,40139,39.108223,-94.552227,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017109992,
2018052998,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Trash on Private Property,4/30/18,6:38 PM,4,2018,OPEN,Y,,,,,8400 E 93RD TER,"8400 E 93RD TER
64138
(38.954093, -94.49178)",64138,Fairwood And Robandee,Jackson,5,South,68749,38.954093,-94.49178,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018052998,60
2018017844,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Vehicles / Parking,Disabled/Unlicensed on Private Property,Car Private Property,2/11/18,3:14 PM,2,2018,OPEN,Y,,,,,8100 E 91ST ST,"8100 E 91ST ST
64138
(38.958411, -94.494546)",64138,Fairwood And Robandee,Jackson,5,South,68971,38.958411,-94.494546,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018017844,90
2017110966,PHONE,NHS,NHS-Dangerous Buildings-,Prop/Build/Construct-Dangerous Building-On list,Property / Buildings / Construction,Dangerous Building,Standard,8/29/17,8:31 AM,8,2017,RESOL,Y,1/3/18,1,2018,127,1828 E 69TH ST,"1828 E 69TH ST
64132
(39.002237, -94.564278)",64132,Neighbors United For Action,Jackson,5,Metro,113957,39.002237,-94.564278,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017110966,
2017119025,PHONE,City Planning and Development,City Planning and Development-Dev Comp-Zoning,Prop/Build/Construct - Land Use / Zoning - Unapproved Land Use,Property / Buildings / Construction,Land Use / Zoning Issue,Unapproved Land Use,9/14/17,4:15 PM,9,2017,RESOL,Y,7/25/18,7,2018,314,4809 ROANOKE PKWY,"4809 ROANOKE PKWY
64112
(39.040191, -94.597078)",64112,West Plaza,Jackson,4,Central,142483,39.040191,-94.597078,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017119025,
2017122522,PHONE,NHS,NHS-Dangerous Buildings-,Prop/Build/Construct-Dangerous Building-Emergency,Property / Buildings / Construction,Dangerous Building,Emergency,9/22/17,8:12 AM,9,2017,RESOL,Y,11/22/17,11,2017,61,3521 SMART AVE,"3521 SMART AVE
64124
(39.10928, -94.539202)",64124,Scarritt Point,Jackson,4,East,41980,39.10928,-94.539202,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2017122522,
2018049172,PHONE,Water Services,Water Services-Line Maintenance-Wastewater,Storm Water / Sewer-Sewer Odor-Outdoor,Storm Water / Sewer,Sewer Odor,Outdoor,4/23/18,10:42 AM,4,2018,RESOL,Y,7/25/18,7,2018,93,1101 NE COOKINGHAM DR,"1101 NE COOKINGHAM DR
64155
(39.30339, -94.564967)",64155,Nashua,Clay,2,Shoal Creek,101003,39.30339,-94.564967,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018049172,
2018049261,PHONE,Water Services,Water Services-Line Maintenance-Wastewater,Storm Water / Sewer-Sewer Referral-Investigation,Storm Water / Sewer,Sewer Referral,Investigation,4/23/18,11:52 AM,4,2018,RESOL,Y,7/25/18,7,2018,93,6207 E 35TH ST,"6207 E 35TH ST
64129
(39.061061, -94.511352)",64129,Leeds,Jackson,3,East,32355,39.061061,-94.511352,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018049261,
2018057525,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Trash on Private Property,5/8/18,3:29 PM,5,2018,RESOL,Y,6/27/18,6,2018,50,4217 CYPRESS AVE,"4217 CYPRESS AVE
64130
(39.048836, -94.531765)",64130,Vineyard,Jackson,3,East,31786,39.048836,-94.531765,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018057525,
2018072033,PHONE,Water Services,Water Services-Line Maintenance-Pipeline,Water-Pipeline Referral-Curb-box / Service Line,Water,Pipeline Referral,Curb-box / Service Line,6/5/18,10:36 AM,6,2018,RESOL,N,6/11/18,6,2018,6,14127 E US 40 HWY,"14127 E US 40 HWY
64136
(39.034053, -94.414295)",64136,Little Blue,Jackson,5,East,62934,39.034053,-94.414295,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018072033,
2018053775,PHONE,Public Works,Public Works-Street and Traffic-District 3,Streets / Roadways / Alleys-Pothole-District 3,Streets / Roadways / Alleys,Pothole,District 3,5/1/18,5:47 PM,5,2018,RESOL,Y,5/3/18,5,2018,2,5619 E BANNISTER RD,"5619 E BANNISTER RD
64137
(38.952635, -94.522301)",64137,Fairlane,Jackson,5,South,57034,38.952635,-94.522301,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018053775,
2018051933,PHONE,Water Services,Water Services-Line Maintenance-Wastewater,Storm Water / Sewer-Sewer Odor-Indoor,Storm Water / Sewer,Sewer Odor,Indoor,4/27/18,2:15 PM,4,2018,RESOL,Y,7/25/18,7,2018,89,7928 TROOST AVE,"7928 TROOST AVE
64131
(38.982943, -94.576508)",64131,Rockhill Manor,Jackson,5,Metro,119229,38.982943,-94.576508,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018051933,
2018077445,PHONE,NHS,NHS-Solid Waste-,Animals / Pets-Dead Animal -Street,Animals / Pets,Dead Animal,Street,6/14/18,8:13 AM,6,2018,RESOL,Y,6/25/18,6,2018,11,3947 PASEO,"3947 PASEO
64110
(39.054225, -94.567218)",64110,Ivanhoe Southwest,Jackson,3,Central,135533,39.054225,-94.567218,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018077445,
2018054304,PHONE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Stray-At Large - Aggressive,Animals / Pets,Stray,At Large - Aggressive,5/2/18,2:09 PM,5,2018,RESOL,N,5/3/18,5,2018,1,11601 SUNNYSLOPE DR,"11601 SUNNYSLOPE DR
64134
(38.914109, -94.521956)",64134,Hickman Mills,Jackson,6,South,74715,38.914109,-94.521956,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018054304,
2018079161,PHONE,NHS,NHS-Animal Health and Safety-,Animals / Pets-Services-Off Leash,Animals / Pets,Services,Off Leash - Investigation,6/18/18,10:53 AM,6,2018,RESOL,N,6/25/18,6,2018,7,9701 LAWNDALE AVE,"9701 LAWNDALE AVE
64137
(38.948704, -94.523015)",64137,Fairlane,Jackson,5,South,57066,38.948704,-94.523015,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018079161,
2018072833,WEB,Water Services,Water Services-Meter and Field Services-,Water-No Water / Pressure-Low Pressure,Water,No Water / Pressure,Low Pressure,6/6/18,9:46 AM,6,2018,RESOL,N,6/7/18,6,2018,1,3609 NW 52ND TER,"3609 NW 52ND TER
64151
(39.188978, -94.623784)",64151,Parkdale And Walden,Platte,2,North,218274,39.188978,-94.623784,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018072833,
2018099295,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,7/24/18,11:35 PM,7,2018,OPEN,N,,,,,10636 WALROND AVE,"10636 WALROND AVE
64137
(38.932365, -94.552668)",64137,St Catherines Gardens,Jackson,6,South,61912,38.932365,-94.552668,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018099295,0
2018099306,PHONE,Water Services,Water Services-Line Maintenance-Restoration,Water-Pipeline Referral-Restoration,Water,Pipeline Referral,Restoration,7/25/18,7:12 AM,7,2018,OPEN,N,,,,,434 NW 58TH ST,"434 NW 58TH ST
64118
(39.200208, -94.588453)",64118,Tanglewood And Regency North,Clay,2,North,96965,39.200208,-94.588453,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018099306,0
2018073019,PHONE,Public Works,Public Works-Capital Projects-Traffic Signals,Lights / Signals-Traffic Signal-Signal pole damage,Lights / Signals,Traffic Signal,Signal Pole Damage,6/6/18,12:43 PM,6,2018,RESOL,N,6/7/18,6,2018,1,514 W 26TH ST,"514 W 26TH ST
64108
(39.080618, -94.591215)",64108,Crown Center,Jackson,4,Central,235862,39.080618,-94.591215,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018073019,
2018073018,PHONE,Public Works,Public Works-Capital Projects-Traffic Signals,Lights / Signals-Traffic Signal-Signal pole damage,Lights / Signals,Traffic Signal,Signal Pole Damage,6/6/18,12:40 PM,6,2018,RESOL,N,6/7/18,6,2018,1,1801 E 18TH ST,"1801 E 18TH ST
64127
(39.090712, -94.5605)",64127,Wendell Phillips,Jackson,3,Central,12962,39.090712,-94.5605,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018073018,
2018099350,PHONE,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Removal-Tree Limbs,Trees,Removal,Tree Limbs,7/25/18,8:23 AM,7,2018,RESOL,N,7/27/18,7,2018,2,5528 HOLMES ST,"5528 HOLMES ST
64110
(39.026388, -94.578821)",64110,Crestwood,Jackson,4,Metro,144688,39.026388,-94.578821,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018099350,
2018099396,PHONE,NHS,NHS-Solid Waste-Administration,Trash / Recycling-Services-Call Back Request,Trash / Recycling,Services,Call Back Request,7/25/18,9:08 AM,7,2018,RESOL,N,7/25/18,7,2018,0,2614 E 9TH ST,"2614 E 9TH ST
64124
(39.10279, -94.550563)",64124,Independence Plaza,Jackson,3,East,10632,39.10279,-94.550563,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018099396,
2018099410,EMAIL,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Trimming-Tree Limbs,Trees,Trimming,Tree Limbs,7/25/18,9:16 AM,7,2018,OPEN,N,,,,,449 W 67TH ST,"449 W 67TH ST
64113
(39.007158, -94.596028)",64113,Armour Fields,Jackson,6,Metro,109365,39.007158,-94.596028,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018099410,0
2018073202,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Open Storage,6/6/18,3:48 PM,6,2018,OPEN,N,,,,,8008 E 93RD ST,"8008 E 93RD ST
64138
(38.955124, -94.495239)",64138,Fairwood And Robandee,Jackson,5,South,69378,38.955124,-94.495239,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018073202,0
2018099382,PHONE,NHS,NHS-Solid Waste-Abatement Referral,Trash / Recycling-Dumping-Solid Waste Referral,Trash / Recycling,Dumping,Solid Waste Referral,7/25/18,8:54 AM,7,2018,RESOL,N,7/26/18,7,2018,1,1601 OAKLAND AVE,"1601 OAKLAND AVE
64126
(39.091516, -94.494775)",64126,Blue Valley Industrial,Jackson,3,East,46472,39.091516,-94.494775,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018099382,
2018077363,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor South,Trash / Recycling,Trash Collection,Missed by Contractor South,6/13/18,6:19 PM,6,2018,RESOL,N,6/14/18,6,2018,1,13306 E 54TH ST,"13306 E 54TH ST
64133
(39.023477, -94.423034)",64133,Blue Vue Hills,Jackson,5,East,64088,39.023477,-94.423034,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018077363,
2018077361,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by City,Trash / Recycling,Trash Collection,Missed by City,6/13/18,6:17 PM,6,2018,RESOL,N,6/14/18,6,2018,1,1034 MONROE AVE,"1034 MONROE AVE
64127
(39.099804, -94.539028)",64127,Lykins,Jackson,3,East,9911,39.099804,-94.539028,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018077361,
2018073256,PHONE,NHS,NHS-Animal Health and Safety-Admin,Animals / Pets-Services-Call Back Request,Animals / Pets,Services,Call Back Request,6/6/18,5:12 PM,6,2018,RESOL,N,6/7/18,6,2018,1,4604 NE 105TH ST,"4604 NE 105TH ST
64156
(39.284063, -94.525248)",64156,Shoal Creek,Clay,1,Shoal Creek,220847,39.284063,-94.525248,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018073256,
2018082163,FAX,NHS,NHS-Neighborhood Preservation-,Property Violations,Mowing / Weeds,Private / Commercial,Lot - Structure,6/22/18,2:42 PM,6,2018,RESOL,N,6/25/18,6,2018,3,5034 WALROND AVE,"5034 WALROND AVE
64130
(39.034056, -94.548105)",64130,North Town Fork Creek,Jackson,3,Metro,35353,39.034056,-94.548105,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018082163,
2018073287,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Recycling-Missed by Contractor South,Trash / Recycling,Recycling,Missed by Contractor South,6/6/18,6:17 PM,6,2018,RESOL,N,6/7/18,6,2018,1,407 E 105TH TER,"407 E 105TH TER
64131
(38.93634, -94.586371)",64131,Bridlespur,Jackson,6,South,154036,38.93634,-94.586371,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018073287,
2018073307,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Recycling-Missed by Contractor South,Trash / Recycling,Recycling,Missed by Contractor South,6/6/18,6:42 PM,6,2018,RESOL,N,6/7/18,6,2018,1,10232 LOCUST ST,"10232 LOCUST ST
64131
(38.941655, -94.586923)",64131,Willow Creek,Jackson,6,South,153552,38.941655,-94.586923,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018073307,
2018073308,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by Contractor South,Trash / Recycling,Trash Collection,Missed by Contractor South,6/6/18,6:44 PM,6,2018,RESOL,N,6/7/18,6,2018,1,9207 CENTRAL ST,"9207 CENTRAL ST
64114
(38.96155, -94.593505)",64114,Boone Hills,Jackson,6,Metro,151611,38.96155,-94.593505,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018073308,
2018099484,PHONE,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Trimming-Tree Limbs,Trees,Trimming,Tree Limbs,7/25/18,10:33 AM,7,2018,OPEN,N,,,,,117 E 113TH ST,"117 E 113TH ST
64114
(38.921725, -94.590887)",64114,Red Bridge South,Jackson,6,South,155465,38.921725,-94.590887,http://webfusion.kcmo.org/coldfusionapps/ActionCenterRequest/CaseInfo.cfm?CaseID=2018099484,0
